Edge,Ollivier-Ricci Curvature
"('237', '705')",2.4424906541753444e-15
"('237', '708')",0.0027734976887523466
"('237', '743')",-0.07070707070707005
"('237', '755')",-0.03896103896103731
"('237', '762')",0.009090909090911481
"('237', '767')",-0.025757575757575202
"('237', '778')",-0.03907156673114076
"('237', '819')",-0.04802744425385863
"('237', '828')",-0.0738927738927726
"('237', '834')",-0.06996047430829755
"('237', '840')",-0.02878787878787703
"('237', '841')",-0.00875420875420585
"('237', '890')",-0.005169340463457628
"('237', '892')",-0.017585692995529145
"('237', '931')",-0.03428030303030227
"('237', '936')",0.027272727272729558
"('237', '937')",-0.08143939393939315
"('237', '940')",0.02864493996569506
"('237', '941')",2.4424906541753444e-15
"('237', '952')",-0.04363636363636125
"('237', '981')",-0.06060606060606011
"('237', '991')",-0.034090909090908283
"('296', '34')",-0.11598091830649948
"('296', '36')",-0.04251012145748989
"('296', '128')",-0.06461538461538385
"('296', '144')",-0.05505279034690602
"('296', '148')",-0.07759784075573606
"('296', '160')",-0.08894230769230638
"('296', '181')",-0.08179487179487066
"('296', '184')",-0.049830672472181536
"('296', '196')",-0.02294197031039147
"('296', '245')",-0.06593406593406415
"('296', '276')",-0.06192959582789914
"('296', '325')",-0.04529914529914336
"('296', '344')",-0.06623931623931822
"('296', '353')",-0.05849358974358898
"('296', '394')",-0.04509283819628451
"('296', '446')",-0.11204013377926358
"('296', '475')",-0.03982542280414525
"('296', '577')",-0.050480769230768496
"('296', '580')",-0.025641025641023996
